Time,Area A,Area B,Best Route
18:11:57,30,23,2
18:11:57,30,23,2
18:11:57,32,24,2
18:11:57,33,24,2
18:11:57,31,23,2
18:11:57,33,28,2
18:11:58,30,24,2
18:11:58,30,27,2
18:11:58,29,25,2
18:11:58,32,16,2
18:11:58,35,24,2
18:11:58,35,19,2
18:11:59,31,21,2
18:11:59,33,19,2
18:11:59,34,22,2
18:11:59,34,16,2
18:11:59,29,17,2
18:11:59,32,15,2
18:11:59,32,16,2
18:12:00,34,19,2
18:12:00,32,21,2
18:12:00,34,23,2
18:12:00,36,22,2
18:12:00,35,24,2
18:12:00,35,23,2
18:12:01,36,19,2
18:12:01,35,18,2
18:12:01,37,15,2
18:12:01,38,22,2
18:12:01,36,26,2
18:12:01,34,23,2
18:12:02,32,24,2
18:12:02,30,25,2
18:12:02,34,25,2
18:12:02,33,23,2
18:12:02,30,24,2
18:12:02,28,25,2
18:12:03,30,28,2
18:12:03,34,24,2
18:12:03,32,23,2
18:12:03,35,28,2
18:12:03,32,28,2
18:12:03,36,26,2
18:12:03,34,25,2
18:12:04,36,26,2
18:12:04,34,24,2
18:12:04,32,27,2
18:12:04,30,20,2
18:12:04,30,19,2
18:12:04,30,21,2
18:12:05,30,16,2
18:12:05,32,17,2
18:12:05,33,18,2
18:12:05,36,14,2
18:12:05,34,21,2
18:12:05,37,18,2
18:12:06,33,16,2
18:12:06,35,16,2
18:12:06,34,19,2
18:12:06,32,23,2
18:12:06,35,20,2
18:12:06,34,18,2
18:12:06,31,19,2
18:12:07,31,19,2
18:12:07,32,18,2
18:12:07,33,20,2
18:12:07,35,20,2
18:12:07,32,22,2
18:12:07,32,25,2
18:12:08,37,23,2
18:12:08,37,16,2
18:12:08,35,16,2
18:12:08,35,13,2
18:12:08,33,16,2
18:12:08,33,14,2
18:12:09,36,16,2
18:12:09,38,17,2
18:12:09,37,19,2
18:12:09,33,21,2
18:12:09,37,19,2
18:12:09,34,20,2
18:12:10,30,17,2
18:12:10,30,13,2
18:12:10,32,18,2
18:12:10,27,12,2
18:12:10,29,11,2
18:12:10,30,15,2
18:12:10,32,20,2
18:12:11,32,21,2
18:12:11,33,17,2
18:12:11,32,16,2
18:12:11,28,17,2
18:12:11,29,23,2
18:12:11,30,21,2
18:12:12,30,18,2
18:12:12,32,18,2
18:12:12,33,15,2
18:12:12,37,16,2
18:12:12,34,21,2
18:12:12,33,17,2
18:12:13,34,15,2
18:12:13,34,16,2
18:12:13,30,16,2
18:12:13,31,15,2
18:12:13,30,16,2
18:12:13,28,14,2
18:12:13,29,17,2
18:12:14,29,18,2
18:12:14,30,21,2
18:12:14,31,19,2
18:12:14,32,16,2
18:12:14,32,18,2
18:12:14,33,21,2
18:12:15,31,21,2
18:12:15,37,18,2
18:12:15,33,20,2
18:12:15,32,24,2
18:12:15,30,22,2
18:12:15,36,21,2
18:12:16,36,16,2
18:12:16,33,18,2
18:12:16,31,18,2
18:12:16,35,18,2
18:12:16,33,18,2
18:12:16,32,18,2
18:12:17,29,25,2
18:12:17,33,31,2
18:12:17,35,25,2
18:12:17,30,20,2
18:12:17,35,19,2
18:12:17,33,24,2
18:12:17,32,26,2
18:12:18,35,24,2
18:12:18,31,22,2
18:12:18,33,20,2
18:12:18,31,17,2
18:12:18,33,17,2
18:12:18,31,19,2
18:12:19,27,18,2
18:12:19,33,17,2
18:12:19,29,23,2
18:12:19,28,23,2
18:12:19,29,17,2
18:12:19,31,21,2
18:12:20,28,26,2
18:12:20,26,23,2
18:12:20,28,25,2
18:12:20,30,26,2
18:12:20,30,25,2
18:12:20,25,25,1
18:12:21,32,28,2
18:12:21,32,26,2
18:12:21,28,24,2
18:12:21,31,24,2
18:12:21,26,20,2
18:12:21,28,22,2
18:12:21,28,28,1
18:12:22,26,23,2
18:12:22,27,27,1
18:12:22,24,30,1
18:12:22,28,24,2
18:12:22,25,26,1
18:12:22,26,21,2
18:12:23,26,23,2
18:12:23,31,28,2
18:12:23,24,24,1
18:12:25,26,31,1
18:12:26,29,24,2
18:12:26,28,21,2
18:12:26,29,24,2
18:12:26,27,26,2
18:12:26,26,27,1
18:12:26,29,28,2
18:12:27,28,21,2
18:12:27,30,22,2
18:12:27,31,29,2
18:12:27,29,30,1
18:12:27,27,23,2
18:12:27,29,22,2
18:12:28,23,21,2
18:12:30,29,19,2
18:12:30,27,25,2
18:12:30,27,25,2
18:12:31,29,27,2
18:12:31,24,24,1
18:12:33,24,25,1
18:12:34,26,21,2
